order_id,company_id,order_date,channel,product_category,gross_amount,fee_amount,net_amount,is_cancelled,is_returned
O10000,C001,2026-01-01,자사몰,식품,406046,24256,381790,False,False
O10001,C001,2026-01-01,자사몰,디지털,78269,2599,75670,False,False
O10002,C001,2026-01-01,자사몰,생활용품,121414,8790,112624,False,False
O10003,C001,2026-01-01,자사몰,디지털,185636,13280,172356,False,False
O10004,C001,2026-01-01,자사몰,패션잡화,374247,18594,0,True,False
O10005,C001,2026-01-01,자사몰,식품,79946,2648,77298,False,False
O10006,C001,2026-01-01,자사몰,뷰티,212674,5887,206787,False,False
O10007,C001,2026-01-01,자사몰,생활용품,337400,20984,316416,False,False
O10008,C001,2026-01-01,자사몰,생활용품,223557,16464,207093,False,False
O10009,C002,2026-01-01,오픈마켓,패션잡화,293679,9809,283870,False,True
O10010,C002,2026-01-01,오픈마켓,식품,391977,10139,381838,False,False
O10011,C002,2026-01-01,오픈마켓,뷰티,254503,17556,236947,False,False
O10012,C002,2026-01-01,오픈마켓,뷰티,84692,5537,79155,False,False
O10013,C002,2026-01-01,오픈마켓,생활용품,113788,3709,110079,False,False
O10014,C002,2026-01-01,오픈마켓,뷰티,59809,4416,55393,False,False
O10015,C002,2026-01-01,오픈마켓,생활용품,202149,9606,192543,False,True
O10016,C002,2026-01-01,오픈마켓,식품,160397,8969,151428,False,False
O10017,C002,2026-01-01,오픈마켓,패션잡화,211922,13641,198281,False,False
O10018,C002,2026-01-01,오픈마켓,생활용품,399361,15374,383987,False,False
O10019,C003,2026-01-01,라이브,패션잡화,388442,22987,365455,False,False
O10020,C003,2026-01-01,라이브,디지털,343884,13777,330107,False,False
O10021,C003,2026-01-01,라이브,생활용품,193870,9949,183921,False,False
O10022,C003,2026-01-01,라이브,패션잡화,35129,1825,33304,False,False
O10023,C003,2026-01-01,라이브,패션잡화,36892,2637,34255,False,False
O10024,C003,2026-01-01,라이브,생활용품,405533,27044,0,True,False
O10025,C003,2026-01-01,라이브,디지털,194927,10153,184774,False,False
O10026,C003,2026-01-01,라이브,패션잡화,205240,10996,194244,False,False
