settlement_id,company_id,settlement_month,scheduled_date,expected_amount,delay_days,status
S00001,C001,2026-01,2026-01-27,62511598,0,예정
S00002,C001,2026-02,2026-02-27,61376371,2,지연
S00003,C001,2026-03,2026-03-27,56502267,0,예정
S00004,C001,2026-04,2026-04-27,64331352,0,예정
S00005,C001,2026-05,2026-05-27,66901115,0,예정
S00006,C001,2026-06,2026-06-27,56344106,0,예정
S00007,C002,2026-01,2026-01-30,57482020,0,예정
S00008,C002,2026-02,2026-03-02,54952131,0,예정
S00009,C002,2026-03,2026-03-30,61003555,2,지연
S00010,C002,2026-04,2026-04-30,57535516,1,예정
S00011,C002,2026-05,2026-05-30,64046492,2,지연
S00012,C002,2026-06,2026-06-30,58176245,0,예정
S00013,C003,2026-01,2026-02-01,69415500,2,지연
S00014,C003,2026-02,2026-03-04,56135851,0,예정
S00015,C003,2026-03,2026-04-01,57421504,1,예정
S00016,C003,2026-04,2026-05-02,63796582,0,예정
S00017,C003,2026-05,2026-06-01,55752520,0,예정
S00018,C003,2026-06,2026-07-02,59990119,0,예정
S00019,C004,2026-01,2026-01-30,64888741,0,예정
S00020,C004,2026-02,2026-03-02,56355663,0,예정
S00021,C004,2026-03,2026-03-30,74681062,0,예정
S00022,C004,2026-04,2026-04-30,61054941,1,예정
S00023,C004,2026-05,2026-05-30,65660095,1,예정
S00024,C004,2026-06,2026-06-30,58164745,0,예정
S00025,C005,2026-01,2026-01-27,70918923,0,예정
S00026,C005,2026-02,2026-02-27,63496736,0,예정
S00027,C005,2026-03,2026-03-27,66325346,0,예정
S00028,C005,2026-04,2026-04-27,62205624,0,예정
S00029,C005,2026-05,2026-05-27,63075552,2,지연
S00030,C005,2026-06,2026-06-27,66352243,0,예정
